メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
maxError	error	base	ja-JP	最大[0]以下	最大[0]以下	[0]は[1]以下で入力してください。	en-US	Must be less than [0]	Must be less than [0]	[0] must be less than or [/]equal to [1].	zh-CN	最大[0]以下	最大[0]以下	[0]请输入[1]以下。
maxFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズを超えています。	ファイルサイズ超過		en-US	Upload exceeds the maximum file size allowed.	File size exceeded		zh-CN	超过能向服务器发送的文件尺寸。	超过文件尺寸	
maxlengthError	error	base	ja-JP	最大[0]文字以下	最大[0]文字以下	[0]は[1]文字以下で入力してください。	en-US	Maximum [0] characters	Maximum [0] characters	[0] must contain at most [/][1] characters.	zh-CN	最大[0]文字以下	最大[0]文字以下	[0]请输入[1]文字以下。
maxNumberOfFiles	error	base	ja-JP	サーバへ送信可能なファイル数を超えています。	ファイル数超過		en-US	Uploaded number of files exceeds server limits.	Number of files exceeded		zh-CN	超过能向服务器发送的文件数。	超过文件数	
menuGrpCdDuplicateError	error	base	ja-JP	メニューグループCDが重複しています。	重複		en-US	Duplicate Menu Group Code.	Duplicate data		zh-CN	菜单组CD重复。	重复	
menuMasterError	error	base	ja-JP	メニューマスタ取得エラー	取得失敗		en-US	Menu Master acquisition error	Acquisition failure		zh-CN	菜单主表取得错误	取得失败	
messageCdDuplicateError	error	base	ja-JP	メッセージCDが重複しています。	重複		en-US	Duplicate Message Code.	Duplicate data		zh-CN	信息CD重复。	重复	
messageMasterError	error	base	ja-JP	メッセージマスタ取得エラー	取得失敗		en-US	Message Master acquisition error	Acquisition failure		zh-CN	信息主表取得错误	取得失败	
messageNotFoundError	error	base	ja-JP	メッセージマスタに存在しません。	未存在		en-US	Does not exist in Message Master.	Does not exist		zh-CN	信息主表中不存在。	不存在	
minError	error	base	ja-JP	最小[0]以上	最小[0]以上	[0]は[1]以上で入力してください。	en-US	Must be greater than [0]	Must be greater than [0]	[0] must be greater or [/]equal to [1].	zh-CN	最小[0]以上	最小[0]以上	[0]请输入[1]以上。
minFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズに達していません。	ファイルサイズ不足		en-US	Upload does not have a valid file size.	Invalid file size		zh-CN	没有达到向服务器发送的文件尺寸。	文件尺寸不足	
minlengthError	error	base	ja-JP	最小[0]文字以上	最小[0]文字以上	[0]は[1]文字以上で入力してください。	en-US	Minimum [0] character(s)	Minimum [0] character(s)	[0] must contain at least [/][1] characters.	zh-CN	最小[0]文字以上	最小[0]文字以上	[0]请输入[1]文字以上。
moreInfo	error	base	ja-JP	詳しい情報			en-US	More info			zh-CN	详细信息		
noDetailsError	error	base	ja-JP	明細が入力されていません。	明細未入力		en-US	Details must be entered.	Required		zh-CN	明细未输入。	明细未输入	
notBlankError	info	base	ja-JP	[0]を入力してください。			en-US	Please enter [0].			zh-CN	请输入[0]。		
noUseableReportLayoutError	error	base	ja-JP	使用可能な帳票レイアウトが登録されていません。			en-US	A valid report layout is not registered.			zh-CN	无法登录可以使用的清单布局。		
numberError	error	base	ja-JP	数値のみ			en-US	Numeric values only			zh-CN	仅数值		
onlyOneSelect	error	base	ja-JP	一件のみ選択して下さい。	1件のみ選択		en-US	Select one record only.	Select only one		zh-CN	请只选择一件。	只选择一件	
overSafetySizeError	error	base	ja-JP	検索件数が[0]件を超えています。検索条件を見直し再度処理を実行して下さい。			en-US	Search results exceed [0] records. Review the search conditions and try again.			zh-CN	检索件数超过[0]件。请重新确认检索条件后再次执行处理。		
overSafetySizeToReportError	error	base	ja-JP	発行データ件数が[0]件を超えています。発行条件を見直し再度処理を実行して下さい。			en-US	Number of data to be issued exceeds [0]. Please review the search conditions before running the process again.			zh-CN	发行数据件数超过[0]件。请重新确认发行条件后再次执行处理。		
overLimitSizeWarn	warn	base	ja-JP	検索件数が[0]件を超えています。[1]件以降のデータを表示する場合は検索条件を変更して再検索して下さい。			en-US	Search results exceed [0] records. To view data past [1] records, review the search conditions and search again.			zh-CN	检索件数超过了[0]件。[1]件以下的数据显示时，请更改检索条件，再次检索。		
passwordChangeByMgtSuccess	info	base	ja-JP	パスワードが変更されました｡			en-US	The password has been changed.			zh-CN	密码已变更｡		
passwordChangeErrorAvailableDateContext	error	base	ja-JP	パスワード変更ができません｡[/][0]には[1]より後の日付を入力してください。			en-US	The password cannot be changed. [/][0] must be later than [1].			zh-CN	无法变更密码｡[/][0]中请输入[1]之后的日期。		
passwordChangeErrorBecameLockout	error	base	ja-JP	ロックアウトされました。システム管理者に問い合わせてください。[/]ログイン画面に移動します。			en-US	Your account has been locked. Please contact your system administrator. [/]You will be redirected to the Login screen.			zh-CN	已锁定。请向系统管理者询问。[/]移动到登录画面。		
passwordChangeErrorLockout	error	base	ja-JP	ロックアウトされています。システム管理者に問い合わせてください。[/]ログイン画面に移動します。			en-US	Your account is currently locked. Please contact your system administrator. [/]You will be redirected to the Login screen.			zh-CN	已锁定。请向系统管理者询问。[/]移动到登录画面。		
passwordChangeErrorMinAlpha	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の英字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] alphabetical characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的字母。		
passwordChangeErrorMinLength	error	base	ja-JP	パスワード変更ができません｡[/]パスワードは[0]桁以上を入力してください。			en-US	The password cannot be changed. [/]The password must be at least [0] characters long.			zh-CN	无法变更密码｡[/]请输入[0]位以上的密码。		
passwordChangeErrorMinLowerCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の小文字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] lower case characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的小写字母。		
passwordChangeErrorMinNumbers	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の数字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] numbers.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的数字。		
passwordChangeErrorMinSymbol	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の半角記号を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] half-width special characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的半角字符		
passwordChangeErrorMinUpperCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の大文字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] upper case characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的大写字母。		
passwordChangeErrorMismatchNewAndReEnter	error	base	ja-JP	パスワード変更ができません｡[/][0]と[1]が一致しません。			en-US	The password cannot be changed. [/][0] and [1] do not match.			zh-CN	无法变更密码｡[/][0]和[1]不一致。		
passwordChangeErrorMismatchNowAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が一致しません。			en-US	The password cannot be changed. [/][0] does not match the current password.			zh-CN	无法变更密码｡[/]现在的密码和[0]不一致。		
passwordChangeErrorNoSamePasswordNewAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が同じパスワードです。異なるパスワードに変更してください。			en-US	The password cannot be changed. [/][0] is identical to the current password. Please enter a new password.			zh-CN	无法变更密码｡[/]現在使用的密码和[0]相同。请输入不同的密码。		
passwordChangeErrorSamePasswordNewAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が同じパスワードです。[/]異なるパスワードに変更してください。			en-US	The password cannot be changed. [/][0] is identical to the current password. [/]Please enter a new password.			zh-CN	无法变更密码｡[/]現在使用的密码和[0]相同。[/]请输入不同的密码。		
passwordChangeErrorUserAvailableOutOfPeriod	error	base	ja-JP	ユーザが利用期間外です。システム管理者に問い合わせてください。[/]ログイン画面に移動します。			en-US	User is not activated or has expired. Please contact your system administrator. [/]You will be redirected to the Login screen.			zh-CN	用户不在使用期。请向系统管理者询问。[/]移动到登录画面。		
passwordChangeSuccess	info	base	ja-JP	パスワードが変更されました｡[/]この画面を閉じるとメニューに移動します。			en-US	The password has been changed. [/] You will be redirected to the main menu after closing this page.			zh-CN	密码已变更｡[/]关闭此画面会移动到菜单。		
passwordTitle	info	base	ja-JP	パスワード変更			en-US	Change Password			zh-CN	密码变更		
patternError	error	base	ja-JP	入力文字不正			en-US	Invalid character			zh-CN	输入的字符错误		
pdfMakeInfomation	info	base	ja-JP	ＰＤＦを作成しています。このままお待ち下さい。			en-US	Generating PDF. Please wait.			zh-CN	ＰＤＦ已作成。请稍后。		
printDataTypeNotAllowedRePrintError	error	base	ja-JP	[0]は再印刷することができません。			en-US	[0] cannot be reprinted.			zh-CN	[0]是无法再打印。		
printerGroupIdIsUsedInOtherPrintServiceWarn	warn	base	ja-JP	指定されたプリンタグループは、すでに別の印刷サービス情報で使用されています。登録して宜しいですか？			en-US	The selected printer group is already in use by another print service. Are you sure you want to submit?			zh-CN	指定的打印机组已在使用别的印刷服务信息。可以登录吗？		
printerGroupNmDuplicateError	error	base	ja-JP	プリンタグループ名が重複しています。	重複		en-US	Duplicate printer group names.	Duplicate data		zh-CN	打印机组名重复。	重复	
printSettingTakeoverConfirm	confirm	base	ja-JP	自動印刷対象が変更されました。変更前のレイアウトから印刷設定を引き継ぎますか？			en-US	Automated print target has been changed. Carry over print settings from previous layout?			zh-CN	自动印刷对象变更。要继承变更前的排版印刷设定吗？		
processCompleteInformation	info	base	ja-JP	処理は正常終了しました。	正常終了		en-US	Process completed successfully.	Success		zh-CN	处理正常终了。	正常终了	
processExecuteEndInformation	info	base	ja-JP	処理を終了しました。	処理終了		en-US	Processing completed.	Process completed		zh-CN	处理终了。	处理终了	
processExecuteStartInformation	info	base	ja-JP	処理を開始しました。	処理開始		en-US	Process started.	Process started		zh-CN	处理开始完成。	处理开始	
queueAddDtConditionallyRequiredError	error	base	ja-JP	[0]入力時は必須			en-US	Required when entering [0].			zh-CN	[0]输入时必须		
registerSuccess	info	base	ja-JP	登録しました。			en-US	Registered successfully.			zh-CN	登录完成。		
reportLayoutNameDuplicateError	error	base	ja-JP	帳票レイアウト名が重複しています。	重複		en-US	Duplicate report layout names.	Duplicate data		zh-CN	清单布局名重复。	重复	
requiredError	error	base	ja-JP	必須	必須	[0]を入力してください。	en-US	Required	Required	Please enter [0].	zh-CN	必须	必须	[0]请输入。
roleCodeDuplicateError	error	base	ja-JP	権限CDが重複しています。	重複		en-US	Duplicate Security Code.	Duplicate data		zh-CN	权限CD重复。	重复	
roleGrpCodeDuplicateError	error	base	ja-JP	権限グループCDが重複しています。	重複		en-US	Duplicate Security Group Code.	Duplicate data		zh-CN	权限组CD重复。	重复	
screenCdDuplicateError	error	base	ja-JP	画面CDが重複しています。	重複		en-US	Duplicate Screen Code.	Duplicate data		zh-CN	画面CD重复。	重复	
screenMasterError	error	base	ja-JP	画面マスタ取得エラー	取得失敗		en-US	Screen Master acquisition error	Acquisition failure		zh-CN	画面主表取得错误	取得失败	
search	info	base	ja-JP	検索			en-US	Search			zh-CN	检索		
searchCondition	info	base	ja-JP	検索条件			en-US	Search Condition			zh-CN	检索条件		
searchConditionMain	info	base	ja-JP	主			en-US	Main			zh-CN	主		
searchConditionOther	info	base	ja-JP	他			en-US	Other			zh-CN	他		
searchConditionAll	info	base	ja-JP	全			en-US	All			zh-CN	全		
statusCode	error	base	ja-JP	ステータスコード			en-US	Status code			zh-CN	状态代码		
systemMasterError	error	base	ja-JP	システム管理マスタ取得エラー	取得失敗		en-US	System Management Master acquisition error	Acquisition failure		zh-CN	系统管理主表取得错误	取得失败	
unhandledError	error	base	ja-JP	致命的エラーが発生しました。管理者に連絡して下さい。[0]	致命的エラー		en-US	Unhandled exception error. Please contact your administrator. [0]	Unhandled error		zh-CN	发生致命错误。请联络管理者。[0]	致命的错误	
unknownError	error	base	ja-JP	不明なエラーが発生しました。	不明エラー		en-US	An unknown error has occurred.	Unknown Error		zh-CN	发生未知错误。	不明错误	
update	info	base	ja-JP	更新			en-US	Update			zh-CN	更新		
updateProcessNormalEndInformation	info	base	ja-JP	正常に更新されました。	正常終了		en-US	Updated successfully.	Success		zh-CN	正常更新完成。	正常终了	
updateSuccess	info	base	ja-JP	更新しました。			en-US	Updated successfully.			zh-CN	更新完成。		
userAutoPrintSetting	info	base	ja-JP	ユーザ別自動印刷設定			en-US	Automated Print Settings (User)			zh-CN	自动印刷设定(用户)		
terminalAutoPrintSetting	info	base	ja-JP	端末別自動印刷設定			en-US	Automated Print Settings (Terminal)			zh-CN	自动印刷设定(端末)		
userAutoPrintSettingList	info	base	ja-JP	ユーザ別自動印刷設定(一覧)			en-US	List of Automated Print Settings (User)						
terminalAutoPrintSettingList	info	base	ja-JP	端末別自動印刷設定(一覧)			en-US	List of Automated Print Settings (Terminal)						
userAutoPrintSettingEdit	info	base	ja-JP	ユーザ別自動印刷設定(編集)			en-US	Automated Print Settings (User)						
terminalAutoPrintSettingEdit	info	base	ja-JP	端末別自動印刷設定(編集)			en-US	Automated Print Settings (Terminal)						
userEditErrorAlreadyRegistered	error	base	ja-JP	ユーザCDは既に登録されています。			en-US	User Code is already registered.			zh-CN	用户CD已登录。		
userMessage	error	base	ja-JP	メッセージ			en-US	Message			zh-CN	信息		
viewOrderDuplicateError	error	base	ja-JP	表示順が重複しています。	重複		en-US	Duplicate Display Order.	Duplicate data		zh-CN	表示顺重复。	重复	
noAutoPrintTargetLayoutError	error	base	ja-JP	自動印刷対象レイアウトが登録されていません。管理者に連絡してください。	印刷設定不備		en-US	Auto-Print Layout is not registered, Please contact the system's administrator.	Print Setting error		zh-CN	自动打印的对象版面未登录。请联络管理员。	打印设定不完备	
jobQueEntryRemoteAuthConnectError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]認証APIへ接続できません。([0])			en-US	An error occurred while reserving  asynchronous process. Please contact your administrator.[/] Unable to connect to  Authentication API.([0])			zh-CN	非同期处理的启动预约登录失败。请向系统管理者询问。[/]无法连接到认证的API。([0])		
jobQueEntryRemoteAuthError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]認証に失敗しました。([0])			en-US	An error occurred while reserving  asynchronous process. Please contact your administrator.[/] Authentication failed. ([0])			zh-CN	非同期处理的启动预约登录失败。请向系统管理者询问。[/]认证失败。([0])		
jobQueEntryRemoteServerConnectError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]ジョブ管理システムへ接続できません。([0])			en-US	An error occurred while reserving  asynchronous process. Please contact your administrator.[/] Unable to connect to JOB Management  System.([0])			zh-CN	非同期处理的启动预约登录失败。请向系统管理者询问。[/]无法连接到作业管理系统。([0])		
jobQueEntryRemoteFailed	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。([0])			en-US	An error occurred while reserving  asynchronous process. Please contact your administrator.			zh-CN	非同期处理的启动预约登录失败。请向系统管理者询问。([0])		
inputLimitCheckNumericOnlyError	error	base	ja-JP	数字のみ	数字のみ	[0]は数値のみ入力可能です。	en-US	Numeric values only	Numbers only	[0] may only contain [/]Numbers.	zh-CN	仅数值	仅数值	[0]仅可以输入数值。
inputLimitCheckNumericAndHyphenOnlyError	error	base	ja-JP	数字と-のみ	数字と-のみ	[0]は数字と-のみ入力可能です。	en-US	Numeric values and "-" only	Numbers and "-" only	[0] may only contain [/]Numbers and "-".	zh-CN	仅数字和-	仅数字和-	[0]仅可以输入数字和-。
inputLimitCheckAlphabetOnlyError	error	base	ja-JP	英字のみ	数字と-のみ	[0]は英字のみ入力可能です。	en-US	Alphabetic characters only	Numbers and "-" only	[0] may only contain [/]Numbers and "-".	zh-CN	仅数字和-	仅数字和-	[0]仅可以输入字母。
inputLimitCheckAlphabetAndHyphenOnlyError	error	base	ja-JP	英字と-のみ	英字と-のみ	[0]は英字と-のみ入力可能です。	en-US	Alphabetic characters and "-" only	Alphabetic characters and "-" only	[0] may only contain [/]Alphabetic characters and "-".	zh-CN	仅字母和-	仅字母和-	[0]仅可以输入字母和-。
inputLimitCheckAlphabetAndNumericOnlyError	error	base	ja-JP	英数字のみ	英数字のみ	[0]は英数字のみ入力可能です。	en-US	Alphanumeric characters only	Alphanumeric characters only	[0] may only contain [/]Alphanumeric characters.	zh-CN	仅字母和数字	仅字母和数字	[0]仅可以输入字母数字。
inputLimitCheckAlphabetAndNumericAndHyphenOnlyError	error	base	ja-JP	英数字と-のみ	英数字と-のみ	[0]は英数字と-のみ入力可能です。	en-US	Alphanumeric characters and "-" only	Alphanumeric characters and "-" only	[0] may only contain [/]Alphanumeric characters and "-".	zh-CN	仅字母数字和-	仅字母数字和-	[0]仅可以输入字母数字和-。
inputLimitCheckAlphabetAndNumericAndSymbolOnlyError	error	base	ja-JP	英数字と記号のみ	英数字と記号のみ	[0]は英数字と記号のみ入力可能です。	en-US	Alphanumeric characters and symbols only	Alphanumeric characters and symbols only	[0] may only contain [/]Alphanumeric characters and symbols.	zh-CN	仅字母数字和记号	仅字母数字和记号	[0]仅可以输入字母数字和记号。
inputLimitCheckHalfWidthOnlyError	error	base	ja-JP	半角文字のみ	半角文字のみ	[0]は半角文字のみ入力可能です。	en-US	Half-width characters only	Half-width characters only	[0] may only contain [/]Half-width characters.	zh-CN	仅半角文字	仅半角文字	[0]仅可以输入半角文字。
inputLimitCheckFullWidthOnlyError	error	base	ja-JP	全角文字のみ	全角文字のみ	[0]は全角文字のみ入力可能です。	en-US	Full-width characters only	Full-width characters only	[0] may only contain [/]Full-width characters.	zh-CN	仅全角文字	仅全角文字	[0]仅可以输入全角文字。
inputLimitCheckTimeOnlyError	error	base	ja-JP	時刻のみ	時刻のみ	[0]は時刻のみ入力可能です。	en-US	Time Only	Time Only	[0] may only contain [/]Time.	zh-CN	仅时刻	仅时刻	[0]仅可以输入时刻。
inputLimitCheckTimeHHMMSSOnlyError	error	base	ja-JP	時刻のみ(HH:MM:SS)	時刻のみ(HH:MM:SS)	[0]は時刻のみ(HH:MM:SS)入力可能です。	en-US	Time Only (HH:MM:SS)	Time Only	[0] may only contain [/]Time(HH:MM:SS).	zh-CN	仅时刻	仅时刻	[0]仅可以输入时刻(HH:MM:SS)。
accessDisableToScreenError	error	base	ja-JP	遷移しようとしている画面を使用する権限がありません。[/]メニューに遷移します。			en-US	You do not have the authority to access target page.[/]Go to menu page.			zh-CN	没有想要迁移画面的使用权限。[/]迁移至菜单。		
timeError	error	base	ja-JP	時刻不正(形式:[0])			en-US	Invalid time format: [0]			zh-CN	时间错误(形式:[0])		
timeoutError	error	base	ja-JP	他のユーザが使用中です。少々時間を置いてから再度処理を実行して下さい。			en-US	Other users are in use.Please wait a moment and try it again.			zh-CN	其他用户使用中。请稍等片刻后再次执行处理。		
reportCdDuplicateError	error	base	ja-JP	帳票CDは既に登録されています。	重複		en-US	Report Code is already registered.	Duplicate data		zh-CN	帐票CD已登录。	重复	
propertyNmDuplicateError	error	base	ja-JP	項目名は既に登録されています。	重複		en-US	Property Name is already registered.	Duplicate data		zh-CN	项目名称已登录。	重复	
dataNotFoundTransitionError	error	base	ja-JP	データ未登録のためページ遷移出来ません。			en-US	Data is not registered so cannot do page transition.			zh-CN	因为数据未登录页面不能迁移。		
terminalSetting	info	base	ja-JP	端末設定	端末設定		en-US	Terminal Setting	Terminal Setting		zh-CN	端末设定		
termialAlreadySetConfirmation	info	base	ja-JP	既に他の端末で設定済です。他端末の設定は解除されますが、処理を行いますか？			en-US	Already set on another terminal. Setting on other terminal will  be released, but do you want to process it?						
numberingNotFoundError	error	base	ja-JP	採番マスタが登録されていません。			en-US	Numbering Master is not registered.						
inputNumberCheckReversalError	error	base	ja-JP	最小値最大値逆転	最小最大逆転		en-US	Minimum Value Maximum Value reversal	Minimum Maximum Reversal					
inputCharsCheckReversalError	error	base	ja-JP	最小文字数最大文字数逆転	最小最大逆転		en-US	Minimum Character length Maximum Character length reversal	Minimum Maximum Reversal					
